,Zeitstempel,I use the following databases for my scientific illustrations:,Regarding BioIcons,Is it easy to use the current BioIcons website?,"If you know about BioIcons, have you ever submitted or thought about submitting illustrations using the webform or via PullRequest?",I use the following tools to draw scientific illustrations or to assemble icons from BioIcons in illustrations,Which proposed features do you think are most useful to you: [Extension of the icon catalog based on community requests],Which proposed features do you think are most useful to you: [Collaborative web editor],Which proposed features do you think are most useful to you: [Templating mechanism to share graphics created using BioIcons for others to reuse],Which proposed features do you think are most useful to you: [Workshops on illustration licensing and creating illustrations using BioIcons],Country,Position
327,16.09.2024 15:26:49,"BioIcons, SMART by Servier",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,High priority,Nice to have,Low priority,High priority,Germany,PhD student
328,18.09.2024 18:41:50,"BioIcons, Open ClipArt, Wikimedia Commons, Adobe Stock",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Microsoft PowerPoint, Adobe Photoshop",High priority,Nice to have,Nice to have,Low priority,Portugal,PhD student
329,19.09.2024 10:07:34,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, BioRender WebEditor",Nice to have,High priority,Nice to have,High priority,,PhD student
330,25.09.2024 23:14:50,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Microsoft PowerPoint",High priority,Nice to have,Nice to have,Low priority,USA,PostDoc
331,28.09.2024 06:28:56,BioRender,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Microsoft PowerPoint",High priority,Nice to have,Nice to have,Low priority,Australia,Undergraduate
332,29.09.2024 11:39:11,"BioIcons, Reactome",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Adobe Illustrator,High priority,Nice to have,Nice to have,Nice to have,Israel,Professor
333,02.10.2024 03:09:38,"BioIcons, BioRender, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, Microsoft PowerPoint",High priority,Nice to have,Nice to have,Low priority,,PostDoc
334,02.10.2024 18:29:05,"BioIcons, Reactome, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Adobe Illustrator,High priority,Nice to have,Nice to have,Nice to have,USA,Professor
335,03.10.2024 13:19:16,,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,High priority,Nice to have,High priority,High priority,Poland,PostDoc
336,09.10.2024 10:30:26,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, BioRender WebEditor, Microsoft PowerPoint",Nice to have,Nice to have,High priority,Nice to have,,Masters graduate
337,11.10.2024 12:38:09,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Microsoft PowerPoint",High priority,Nice to have,Nice to have,Low priority,UK,PhD student
338,18.10.2024 20:14:44,"BioIcons, MindTheGraph",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,High priority,Low priority,Nice to have,Nice to have,USA,PhD student
339,28.10.2024 18:09:54,BioRender,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Adobe Illustrator,Nice to have,Nice to have,Nice to have,Nice to have,,Undergraduate
340,31.10.2023 12:35:05,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Adobe Illustrator,High priority,High priority,High priority,High priority,Portugal,Professor
341,18.10.2024 14:14:15,BioIcons,Haven't used it yet but will do so in the future,Yes.,"No, because I lack the artistic skills to share my illustrations.",Gimp,Low priority,Low priority,Low priority,Unnecessary,,PostDoc
342,09.05.2024 15:42:57,BioRender,Haven't used it yet but will do so in the future,Yes.,"No, because I lack the artistic skills to share my illustrations.",Affinity Designer,High priority,Nice to have,Nice to have,Low priority,Denmark,Professor
343,17.09.2024 14:17:04,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",,"No, because I lack the artistic skills to share my illustrations.",Adobe Illustrator,Unnecessary,Unnecessary,Unnecessary,Unnecessary,,
344,16.09.2023 20:56:00,,Haven't used it yet but will do so in the future,Have never used it.,"No, but I plan to submit illustrations.","Inkscape, Blender",Nice to have,Unnecessary,Nice to have,High priority,UK,PostDoc
345,08.11.2023 18:01:36,BioRender,I do not use it because my university/lab has a premium subscription to Biorender or MindTheGraph.,Have never used it.,"No, but I plan to submit illustrations.",Inkscape,High priority,Nice to have,Nice to have,Nice to have,USA,PhD student
346,16.04.2024 04:48:36,BioRender,I do not use it because my university/lab has a premium subscription to Biorender or MindTheGraph.,Have never used it.,"No, but I plan to submit illustrations.","Inkscape, BioRender WebEditor, Microsoft PowerPoint",Nice to have,Low priority,Nice to have,High priority,Belgium,PhD student
347,21.09.2023 14:10:59,Do it by myself ,Haven't used it yet but will do so in the future,Have never used it.,"No, but I plan to submit illustrations.",Adobe Illustrator,Nice to have,Nice to have,High priority,Low priority,Switzerland,permanent academic staff
348,13.10.2023 19:16:19,"BioIcons, TogoTV/DBCLS, SMART by Servier, Wikimedia Commons",Haven't used it yet but will do so in the future,Have never used it.,"No, but I plan to submit illustrations.","Inkscape, Microsoft PowerPoint",High priority,Nice to have,Nice to have,Unnecessary,USA,Professor
349,30.05.2024 03:47:36,"BioIcons, BioRender, MindTheGraph, TogoTV/DBCLS, SMART by Servier, SciDraw, Reactome, Open ClipArt, Wikimedia Commons, FreePik","I use it for my illustrations, and the catalog is already big enough for me.",Have never used it.,"No, but I plan to submit illustrations.","Inkscape, Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",Nice to have,Nice to have,Nice to have,Nice to have,,Undergraduate
350,07.07.2024 11:24:19,,"I use it for my illustrations, and the catalog is already big enough for me.",Have never used it.,"No, but I plan to submit illustrations.",,Nice to have,Low priority,Nice to have,Unnecessary,,
351,02.10.2024 07:06:35,"BioRender, Adobe Stock","I use it for my illustrations, and the catalog is already big enough for me.",Have never used it.,"No, but I plan to submit illustrations.",Adobe Illustrator,,,,,,PhD student
352,15.09.2023 11:21:22,BioRender,I want to use it but I do not know which editor  I can use.,Have never used it.,"No, but I plan to submit illustrations.","BioRender WebEditor, Microsoft PowerPoint",Nice to have,Low priority,High priority,High priority,Bangladesh,PostDoc
353,28.11.2023 11:01:15,"BioIcons, BioRender",I want to use it but I do not know which editor  I can use.,Have never used it.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,Nice to have,Nice to have,Low priority,Low priority,,Undergraduate
354,07.03.2024 10:13:49,Adobe Stock,I want to use it but I do not know which editor  I can use.,Have never used it.,"No, but I plan to submit illustrations.",Adobe Illustrator,,,,Nice to have,India,PhD student
355,16.04.2024 18:25:04,BioRender,I want to use it but I do not know which editor  I can use.,Have never used it.,"No, but I plan to submit illustrations.",BioRender WebEditor,Unnecessary,Unnecessary,Unnecessary,Unnecessary,India,PostDoc
356,08.07.2024 11:50:07,"BioRender, Adobe Stock",I want to use it but I do not know which editor  I can use.,Have never used it.,"No, but I plan to submit illustrations.",Adobe Illustrator,Nice to have,Nice to have,Nice to have,High priority,Germany,PhD student
357,19.09.2023 17:31:11,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Have never used it.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,,,,,,
358,12.11.2023 00:14:37,"BioRender, Open ClipArt, FreePik",I want to use it but the catalog is too limited.,Have never used it.,"No, but I plan to submit illustrations.","Adobe Illustrator, Microsoft PowerPoint",High priority,High priority,Nice to have,Nice to have,UK,permanent academic staff
359,25.12.2023 17:55:07,BioRender,I want to use it but the catalog is too limited.,Have never used it.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,Nice to have,High priority,High priority,Nice to have,Portugal,PhD student
360,11.11.2023 08:13:48,BioRender,Haven't used it yet but will do so in the future,Have never used it.,"No, but I plan to submit illustrations.","Inkscape, Microsoft PowerPoint",Nice to have,Nice to have,Nice to have,Nice to have,industry,Scientist 
361,17.04.2024 08:07:00,BioRender,I want to use it but I do not know which editor  I can use.,Have never used it.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,High priority,Nice to have,High priority,High priority,Spain,Professor
362,20.06.2024 07:09:15,"BioIcons, Reactome",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, but I plan to submit illustrations.",Inkscape,Low priority,Low priority,High priority,Nice to have,Australia,PostDoc
363,11.09.2023 13:35:10,"BioIcons, Reactome, Wikimedia Commons","I use it for my illustrations, and the catalog is already big enough for me.",It is hard to find the right illustrations.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,High priority,Low priority,Nice to have,Nice to have,UK,PhD student
364,06.11.2023 14:27:14,"BioIcons, BioRender, SciDraw, Open ClipArt","I use it for my illustrations, and the catalog is already big enough for me.",It is hard to find the right illustrations.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,Nice to have,,PhD student
365,19.03.2024 10:04:01,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",It is hard to find the right illustrations.,"No, but I plan to submit illustrations.",BioRender WebEditor,High priority,High priority,High priority,High priority,India,Undergraduate
366,27.03.2024 16:46:03,"BioIcons, BioRender, MindTheGraph, TogoTV/DBCLS, SMART by Servier, SciDraw, Reactome, Open ClipArt, Wikimedia Commons, FreePik, Adobe Stock, Other Stocklibrary such as Vecteezy, ","I use it for my illustrations, and the catalog is already big enough for me.",It is hard to find the right illustrations.,"No, but I plan to submit illustrations.",Adobe Illustrator,Nice to have,Nice to have,Nice to have,Nice to have,,Undergraduate
367,19.11.2023 15:12:19,BioIcons,I want to use it but I do not know which editor  I can use.,It is hard to find the right illustrations.,"No, but I plan to submit illustrations.",Inkscape,Nice to have,Low priority,Nice to have,High priority,Nigeria,Undergraduate
368,15.05.2024 04:05:51,Adobe Stock,I want to use it but I do not know which editor  I can use.,It is hard to find the right illustrations.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,Unnecessary,Unnecessary,Unnecessary,Unnecessary,,Undergraduate
369,03.10.2024 10:40:49,"BioIcons, Adobe Stock",I want to use it but I do not know which editor  I can use.,It is hard to find the right illustrations.,"No, but I plan to submit illustrations.","Inkscape, Adobe Illustrator",High priority,High priority,High priority,High priority,Denmark,PostDoc
370,11.09.2023 01:58:45,"BioRender, Wikimedia Commons",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, but I plan to submit illustrations.",,High priority,Nice to have,High priority,Nice to have,Malaysia,PhD student
371,09.11.2023 22:47:10,"BioIcons, BioRender, Wikimedia Commons, FreePik",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,High priority,High priority,High priority,High priority,Ireland,permanent academic staff
372,31.12.2023 17:39:54,"BioIcons, BioRender",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, but I plan to submit illustrations.",BioRender WebEditor,High priority,Nice to have,High priority,Nice to have,UK,PhD student
373,18.10.2024 02:49:40,"BioIcons, BioRender, SciDraw",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, but I plan to submit illustrations.",BioRender WebEditor,High priority,Nice to have,Nice to have,Low priority,,Undergraduate
374,12.09.2024 11:33:13,PowerPoint ,I want to use it but I do not know which editor  I can use.,No.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,,,Unnecessary,Unnecessary,Brazil,Professor
375,05.10.2023 14:34:49,BioRender,I do not use it because I don't need to create illustrations for my work.,Yes.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,High priority,,PhD student
376,16.04.2024 08:09:07,"Reactome, Wikimedia Commons",Haven't used it yet but will do so in the future,Yes.,"No, but I plan to submit illustrations.","Inkscape, Microsoft PowerPoint",High priority,Low priority,Nice to have,Nice to have,Industry,Senior Bioinformatician
377,11.09.2023 16:05:36,"BioIcons, Other Stocklibrary such as Vecteezy","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.",Inkscape,High priority,Low priority,Low priority,Nice to have,UK,PostDoc
378,11.09.2023 19:28:27,"BioIcons, Wikimedia Commons","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.",Inkscape,High priority,Nice to have,High priority,High priority,USA,Professor
379,21.09.2023 23:10:37,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.",Inkscape,High priority,Nice to have,Low priority,Low priority,USA,PostDoc
380,05.10.2023 16:55:34,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,High priority,High priority,Nice to have,High priority,Thailand,permanent academic staff
381,02.11.2023 09:11:38,"BioIcons, SMART by Servier, SVG repo; Nounproject; Healthicons.. ","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.","Inkscape, Microsoft PowerPoint",High priority,Nice to have,Nice to have,Nice to have,Germany,permanent academic staff
382,05.11.2023 19:27:22,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.",BioRender WebEditor,High priority,High priority,High priority,High priority,Russia,PostDoc
383,08.11.2023 16:31:42,BioRender,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,Nice to have,Mexico,PhD student
384,18.11.2023 22:20:54,"BioIcons, BioRender, Wikimedia Commons","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.","Inkscape, Microsoft PowerPoint",Low priority,Low priority,Nice to have,Nice to have,Czechia,Undergraduate
385,22.11.2023 17:57:46,"BioIcons, BioRender, chemdraw","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.","Adobe Illustrator, Microsoft PowerPoint",High priority,Low priority,Nice to have,Unnecessary,USA,PostDoc
386,11.12.2023 11:24:59,"BioIcons, BioRender, MindTheGraph, TogoTV/DBCLS, SMART by Servier, SciDraw, Reactome, Open ClipArt, Wikimedia Commons, FreePik, Adobe Stock, Other Stocklibrary such as Vecteezy, Origin pro graphs, uv graphs","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.","Adobe Illustrator, Microsoft PowerPoint, Origin pro",High priority,,,,Taiwan,PhD student
387,19.12.2023 09:11:34,"BioIcons, BioRender, MindTheGraph","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.",Inkscape,Unnecessary,Unnecessary,Unnecessary,Unnecessary,China,PhD student
388,22.12.2023 06:03:24,"BioIcons, BioRender, MindTheGraph","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.","Adobe Illustrator, Microsoft PowerPoint",High priority,Nice to have,Low priority,Nice to have,,Undergraduate
389,05.01.2024 06:50:14,"BioIcons, BioRender, MindTheGraph, TogoTV/DBCLS, SMART by Servier, SciDraw, Reactome, Open ClipArt, Wikimedia Commons, FreePik, Adobe Stock, Other Stocklibrary such as Vecteezy","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.",BioRender WebEditor,Nice to have,Nice to have,High priority,Nice to have,,PhD student
390,07.01.2024 16:23:58,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.",Inkscape,Low priority,High priority,High priority,High priority,,Undergraduate
391,17.02.2024 02:08:39,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.","BioRender WebEditor, Microsoft PowerPoint",Nice to have,Nice to have,Nice to have,High priority,Brazil,PhD student
392,26.02.2024 13:25:27,"BioRender, SciDraw, FreePik","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.","BioRender WebEditor, Microsoft PowerPoint",Nice to have,Nice to have,Nice to have,Nice to have,,PhD student
393,16.04.2024 07:42:33,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.",,,,,,,
394,16.04.2024 20:19:51,"BioIcons, BioRender, Adobe Stock","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.","BioRender WebEditor, Microsoft PowerPoint",Nice to have,Nice to have,Nice to have,Nice to have,Malaysia,PhD student
395,21.04.2024 09:50:01,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,High priority,High priority,High priority,Nice to have,,PhD student
396,09.06.2024 10:22:11,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.",Adobe Illustrator,,,,,,
397,21.06.2024 09:41:10,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,Nice to have,,
398,25.06.2024 08:51:35,"BioIcons, BioRender, MindTheGraph, SciDraw, Reactome","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.",BioRender WebEditor,High priority,,High priority,,India,PhD student
399,12.07.2024 04:54:17,"BioRender, SciDraw","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.",Adobe Illustrator,Nice to have,Nice to have,Nice to have,Nice to have,,Undergraduate
400,21.08.2024 15:58:43,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.",BioRender WebEditor,High priority,High priority,High priority,High priority,,Postgraduate
401,28.08.2024 06:00:10,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.",Adobe Illustrator,High priority,Nice to have,Nice to have,High priority,USA,PhD student
402,02.09.2024 13:11:32,"BioIcons, BioRender, FreePik, Adobe Stock","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,Nice to have,High priority,High priority,High priority,,PhD student
403,04.09.2024 10:56:08,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,Unnecessary,Unnecessary,Unnecessary,Unnecessary,Serbia,Professor
404,24.10.2024 20:25:57,BioRender,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,High priority,High priority,High priority,High priority,,Undergraduate
405,29.10.2024 11:37:37,BioRender,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.","Inkscape, BioRender WebEditor, Microsoft PowerPoint",Nice to have,Nice to have,Nice to have,Nice to have,India,PhD student
406,29.10.2024 16:58:32,"BioIcons, BioRender, Adobe Stock","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, but I plan to submit illustrations.","BioRender WebEditor, Microsoft PowerPoint",High priority,High priority,High priority,High priority,Colombia,permanent academic staff
407,20.03.2024 10:07:56,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","BioRender WebEditor, Microsoft PowerPoint",High priority,Low priority,Nice to have,Unnecessary,Finland,MSc serving as a non-military service member in the University of Helsinki.
408,17.11.2023 19:03:29,"BioIcons, BioRender",I want to use it but I do not know which editor  I can use.,Yes.,"No, but I plan to submit illustrations.","BioRender WebEditor, Microsoft PowerPoint",High priority,Nice to have,High priority,High priority,Bangladesh,Senior Scientist 
409,18.12.2023 11:32:00,"BioIcons, BioRender, SciDraw",I want to use it but I do not know which editor  I can use.,Yes.,"No, but I plan to submit illustrations.","Adobe Illustrator, Affinity designer",Nice to have,Low priority,Nice to have,Low priority,,Undergraduate
410,22.12.2023 22:59:06,BioIcons,I want to use it but I do not know which editor  I can use.,Yes.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,Nice to have,,,,,Undergraduate
411,16.06.2024 16:15:12,"BioRender, Wikimedia Commons",I want to use it but I do not know which editor  I can use.,Yes.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,Low priority,Canada,Professor
412,09.08.2024 00:07:21,"BioIcons, SciDraw",I want to use it but I do not know which editor  I can use.,Yes.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,High priority,High priority,High priority,High priority,,PostDoc
413,28.08.2024 19:43:29,"BioIcons, ",I want to use it but I do not know which editor  I can use.,Yes.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,Nice to have,,permanent academic staff
414,11.09.2023 06:10:25,"BioIcons, MindTheGraph",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",BioRender WebEditor,High priority,High priority,High priority,High priority,India,PhD student
415,11.09.2023 10:22:30,"BioIcons, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","Inkscape, Affinity Designer",High priority,Unnecessary,Nice to have,Nice to have,UK,permanent academic staff
416,11.09.2023 16:38:25,"BioIcons, BioRender, Open ClipArt, Wikimedia Commons, Chemix",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","Inkscape, Adobe Illustrator",Nice to have,Nice to have,Nice to have,Nice to have,Italy,Professor
417,12.09.2023 10:39:48,"BioIcons, BioRender, MindTheGraph",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","Inkscape, Adobe Illustrator",High priority,Low priority,High priority,Low priority,Italy,permanent academic staff
418,12.09.2023 10:47:39,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",Adobe Illustrator,Nice to have,Low priority,High priority,Low priority,UK,Professor
419,13.09.2023 10:41:15,"BioIcons, SMART by Servier, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","Inkscape, Microsoft PowerPoint",High priority,High priority,Unnecessary,Nice to have,,"Faculty of Medicine, 5th."
420,13.09.2023 13:42:47,"BioIcons, BioRender, Adobe Stock",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","Adobe Illustrator, Microsoft PowerPoint",High priority,Nice to have,High priority,Nice to have,Switzerland,PhD student
421,09.10.2023 17:58:26,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",Inkscape,High priority,Low priority,Nice to have,Nice to have,,PostDoc
422,22.10.2023 22:58:57,"BioIcons, SciDraw, Wikimedia Commons, FreePik",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","Inkscape, Microsoft PowerPoint",High priority,Nice to have,High priority,Low priority,Germany,Undergraduate
423,04.11.2023 05:27:27,"BioIcons, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","Adobe Illustrator, Affinity Designer",High priority,Low priority,Nice to have,Nice to have,USA,PhD student
424,08.11.2023 19:20:08,"BioRender, Other Stocklibrary such as Vecteezy",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","Inkscape, Microsoft PowerPoint",High priority,Low priority,Low priority,Nice to have,Industry,Industry
425,08.11.2023 22:42:47,"BioIcons, Reactome, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",Inkscape,Nice to have,Low priority,High priority,Low priority,Switzerland,permanent academic staff
426,09.11.2023 11:43:48,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","BioRender WebEditor, Microsoft PowerPoint",Nice to have,High priority,Nice to have,Nice to have,,permanent academic staff
427,10.11.2023 00:28:00,"BioIcons, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",Inkscape,High priority,Nice to have,High priority,High priority,USA,PhD student
428,10.11.2023 10:43:25,"BioIcons, noun project",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",Inkscape,High priority,Low priority,Low priority,Nice to have,Germany,Professor
429,12.11.2023 13:21:59,"BioIcons, BioRender, SMART by Servier, Reactome, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","Inkscape, Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",High priority,Nice to have,Low priority,Low priority,France,permanent academic staff
430,12.11.2023 17:36:23,"BioIcons, Wikimedia Commons, Adobe Stock, Other Stocklibrary such as Vecteezy",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",Affinity designer ,High priority,Nice to have,Nice to have,Low priority,USA,PostDoc
431,17.11.2023 11:48:50,"BioRender, Adobe Stock",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","BioRender WebEditor, Microsoft PowerPoint",Nice to have,Nice to have,Nice to have,Nice to have,Belgium,PostDoc
432,18.11.2023 18:41:12,"BioIcons, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",Inkscape,High priority,High priority,High priority,High priority,Austria,PhD student
433,23.11.2023 12:28:10,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",Inkscape,High priority,High priority,High priority,High priority,India,permanent academic staff
434,08.12.2023 02:10:48,"BioIcons, BioRender, Open ClipArt, Wikimedia Commons, FreePik",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",High priority,Low priority,Low priority,Nice to have,USA,PostDoc
435,12.12.2023 00:35:00,"BioIcons, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","Inkscape, Microsoft PowerPoint",High priority,Low priority,High priority,High priority,New Zealand,PhD student
436,15.12.2023 04:50:09,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",BioRender WebEditor,Nice to have,Nice to have,High priority,High priority,,
437,01.01.2024 01:05:39,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","Inkscape, Microsoft PowerPoint, GIMP",Nice to have,Low priority,High priority,High priority,UK,PostDoc
438,10.03.2024 03:49:33,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",Inkscape,High priority,Low priority,High priority,Unnecessary,USA,PostDoc
439,11.03.2024 03:59:45,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",Adobe Illustrator,High priority,Nice to have,Nice to have,Low priority,USA,PostDoc
440,21.03.2024 10:32:47,"BioIcons, SMART by Servier, SciDraw",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","Inkscape, Adobe Illustrator, Microsoft PowerPoint",High priority,Nice to have,High priority,Nice to have,Germany,PostDoc
441,10.04.2024 17:00:32,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","Inkscape, Microsoft PowerPoint",Nice to have,Nice to have,High priority,High priority,UK,PhD student
442,16.04.2024 05:56:55,"MindTheGraph, Canva",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","Inkscape, Microsoft PowerPoint",High priority,High priority,High priority,High priority,India,PhD student
443,16.04.2024 10:39:42,"BioIcons, BioRender, MindTheGraph",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",BioRender WebEditor,High priority,High priority,High priority,High priority,India,PhD student
